Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
AFRICAN RAINBOW MINERALS LTD,South Africa,https://www.africanrainbowminerals.co.za,Mining & Quarrying,info@africanrainbowminerals.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
EXXARO RESOURCES LTD,South Africa,https://www.exxaroresources.co.za,Mining & Quarrying,info@exxaroresources.co.za,,,9,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
TWO RIVERS PLATINUM (PTY) LTD,South Africa,https://www.tworiversplatinum.co.za,Mining & Quarrying,info@tworiversplatinum.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Platinum Mining. REGION: South Africa. "
VILLAGE MAIN REEF LTD,South Africa,https://www.villagemainreef.co.za,Mining & Quarrying,info@villagemainreef.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
EAST RAND PROPRIETARY MINES LTD,South Africa,https://www.eastrandproprietarymines.co.za,Mining & Quarrying,info@eastrandproprietarymines.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
ASA METALS (PTY) LTD,South Africa,https://www.asametals.co.za,Mining & Quarrying,info@asametals.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Mittelland Beton AG,South Africa,https://www.mittellandbetonag.co.za,Mining & Quarrying,info@mittellandbetonag.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
FINSCH DIAMOND MINE (PTY) LTD,South Africa,https://www.finschdiamondmine.co.za,Mining & Quarrying,info@finschdiamondmine.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Diamond Mining. REGION: South Africa. "
UKHO MINING SERVICES (PTY) LTD,South Africa,https://www.ukhominingservices.co.za,Mining & Quarrying,info@ukhominingservices.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
BARPLATS INVESTMENTS LTD,South Africa,https://www.barplatsinvestments.co.za,Mining & Quarrying,info@barplatsinvestments.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
FRASER ALEXANDER (PTY) LTD,South Africa,https://www.fraseralexander.co.za,Mining & Quarrying,info@fraseralexander.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
ISAMBANE MINING (PTY) LTD,South Africa,https://www.isambanemining.co.za,Mining & Quarrying,info@isambanemining.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
KUDU GRANITE OPERATIONS (PTY) LTD,South Africa,https://www.kudugraniteoperations.co.za,Mining & Quarrying,info@kudugraniteoperations.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
ALEXANDER BAY DEVELOPMENT CORPORATION,South Africa,https://www.alexanderbaydevelopmentcorporation.co.za,Mining & Quarrying,info@alexanderbaydevelopmentcorporation.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
NEW KLEINFONTEIN GOLDMINE (PTY) LTD,South Africa,https://www.newkleinfonteingoldmine.co.za,Mining & Quarrying,info@newkleinfonteingoldmine.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Gold Mining. REGION: South Africa. "
HARMONY GOLD MINING COMPANY LTD,South Africa,https://www.harmonygoldminingcompany.co.za,Mining & Quarrying,info@harmonygoldminingcompany.co.za,,,9,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Gold Mining. REGION: South Africa. "
PROVEST SPECIALISED SUPPORT (PTY) LTD,South Africa,https://www.provestspecialisedsupport.co.za,Mining & Quarrying,info@provestspecialisedsupport.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Holcim Kies und Beton AG,South Africa,https://www.holcimkiesundbetonag.co.za,Mining & Quarrying,info@holcimkiesundbetonag.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
PALABORA COPPER (PTY) LTD,South Africa,https://www.palaboracopper.co.za,Mining & Quarrying,info@palaboracopper.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Copper Mining. REGION: South Africa. "
EXXARO COAL MPUMALANGA (PTY) LTD,South Africa,https://www.exxarocoalmpumalanga.co.za,Mining & Quarrying,info@exxarocoalmpumalanga.co.za,,,9,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Coal Mining. REGION: South Africa. "
FOSKOR (PTY) LTD,South Africa,https://www.foskor.co.za,Mining & Quarrying,info@foskor.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
LAFARGE INDUSTRIES SOUTH AFRICA (PTY) LTD,South Africa,https://www.lafargeindustriessouthafrica.co.za,Mining & Quarrying,info@lafargeindustriessouthafrica.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
ANDRU MINING (PTY) LTD,South Africa,https://www.andrumining.co.za,Mining & Quarrying,info@andrumining.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Northam Platinum Ltd,South Africa,https://www.northamplatinum.co.za,Mining & Quarrying,info@northamplatinum.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Platinum Mining. REGION: South Africa. "
Mponeng Gold Mine,South Africa,https://www.mponenggold.co.za,Mining & Quarrying,info@mponenggold.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Gold Mining. REGION: South Africa. "
AECI Mining Explosives,South Africa,https://www.aeciminingexplosives.co.za,Mining & Quarrying,info@aeciminingexplosives.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Mining Explosives. REGION: South Africa. "
Anglo American Platinum,South Africa,https://www.angloamericanplatinum.co.za,Mining & Quarrying,info@angloamericanplatinum.co.za,,,9,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Platinum Mining. REGION: South Africa. "
Kusasalethu,South Africa,https://www.kusasalethu.co.za,Mining & Quarrying,info@kusasalethu.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Amandelbult Central,South Africa,https://www.amandelbultcentral.co.za,Mining & Quarrying,info@amandelbultcentral.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Seriti Klipspruit Co,South Africa,https://www.seritiklipspruitco.co.za,Mining & Quarrying,info@seritiklipspruitco.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Sasol Mining - Irene,South Africa,https://www.sasolminingirene.co.za,Mining & Quarrying,info@sasolminingirene.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Exxaro - Leeuwpan Mine,South Africa,https://www.exxaroleeuwpan.co.za,Mining & Quarrying,info@exxaroleeuwpan.co.za,,,9,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Kensington Electrical,South Africa,https://www.kensingtonelectrical.co.za,Mining & Quarrying,info@kensingtonelectrical.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
