Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
"Cape Town Block V Greenford Office Park Punters Way Western Cape 7700 unitrans.***** 1967 $1,579,025,646 0 Corporation 40 196701092007 6 Adcorp Fulfilment Services (PTY) LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Johannesburg 102 Western Service Rd,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Cape Town Mo5 Bldg Bakers Square Western Cape 7130 litson.***** 2013 $127,908,213 150 Corporation 2 201321638607 8 N H R Investments (PTY) LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Piet Retief 2 Measroch St,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Pretoria Mcg Bldg 1 Hotel,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Germiston Wh2a Freeway Industrial Park,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Bothaville H/v 1st en Fabrieks Av Free State 9660 goldfieldslogistics.***** 1994 $90,186,700 958 Corporation 5 199400315807 12 Cma Cgm Shipping Agencies",,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Durban 57 Richefond Circle Kwazulu-natal,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Exporters (PTY) LTD,,,Logistics & Transport,info@exporter.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Johannesburg Unit 9 Pomona Business,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Mbombela Portion 92 of the,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Durban 1422 Watford Rd Kwazulu,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Johannesburg The Travel Hse 6,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Krugersdorp Joris Bldg Joubert and Rissik St,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Pretoria Bldg 150 Tegel Av,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Johannesburg 92 Augrabies Rd Waterfall,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Johannesburg 1 Bridge Close Rosherville,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
N/A 162 General Hertzog Rd,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Durban 25 Henry Penningto Rd,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Durban 59 Balmoral Dr Kwazulu,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Pretoria 30 van Niekerk St,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Estadeal 118 Burman Rd Eastern Cape 6012 metsiwatersolutions.***** 2009 $38,002,881 112 Corporation N/A 200901420207 26 Hoegh Autoliners (PTY) LTD",,,Logistics & Transport,info@estadeal.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Johannesburg Unit 2b 100 on,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Johannesburg 7th Floor Shell Hse,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
"Cape Town 17th Flr the Towers Tower South 2 Heerengrach Western Cape 8001 one-line.***** 2017 $36,732,850 290 Corporation 105 201734838907 29 Fgs Shipping (PTY) LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
"Cape Town Unit 63 Victoria Junction Prestwich St Western Cape 8001 N/A 2000 $36,732,850 290 Corporation 5 200002002707 30 R.O.N",,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
"Cape Town Block B Unit 16 M5 Park Eastman Road Western Cape 7405 N/A 2012 $36,732,850 290 Corporation 3 201203409307 31 Putco LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Johannesburg Cnr Mimosa Way and,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Johannesburg Bldg 2 Killdrummy Office,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Newcastle 81 Scott St Kwazulu-natal,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
n Container Depots (PTY) LTD,,,Logistics & Transport,info@ncontain.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
N/A 2nd Floor Bidvest Hse 18 Cres Dr,,,Logistics & Transport,info@na2ndfloorbidvesthse18cresdr.co.za,014 727 4987,Operations Manager,8,30-60 days,Major logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Johannesburg Clearwater Office Park North,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Cape Town Grindrod Mews 106 Margaret Mncadi Av Western Cape 7405 novagroup.***** 1965 $36,054,546 197 Corporation 12 196500460907 37 Logwin Air And Ocean",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Germiston 1 Johan Birkart Rd,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Durban 5 Warehouse No 151,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Durban 2nd Floor the Sharaf,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
"Gqeberha Block B 1st Floor Southern Life Ga 70 2nd Av Eastern Cape 6055 eculine.***** 1996 $36,054,546 197 Corporation 731 199600660207 41 The",,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
n Mercantile CORPORATION (PTY) LTD,,,Logistics & Transport,info@nmercant.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
N/A South Lake Office Park 5 Estee Ackerman Street,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Vereeniging 1st Floor Bldg 2,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Vereeniging Electromechanica Industrial Park Gauteng,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Sasolburg 246 Oliver Tambo Rd Free State 9301 interstate.***** 2003 $34,726,496 730 Corporation 3 200302807007 45 Smit Marine",,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
"N/A 11 Imam Haron Rd Western Cape 7405 smit.***** 1968 $33,033,320 290 Corporation 895 196800407407 46 Connect Supply Chain Services (PTY) LTD",,,Logistics & Transport,info@na11imam.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Durban Gate 4 265 Sydney,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Durban Unit 2 Ground Floor,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Hlabisa Lot 155 Kwazulu-natal 4451 N/A 2003 $29,638,179 4 Corporation N/A 200308722023 49 Marunic Trading (PTY) LTD",,,Logistics & Transport,info@hlabisal.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
"Cape Town Farm Hoogekraal Western Cape 6529 N/A 2006 $29,629,096 197 Corporation N/A 200603563607 50 Benietha Veevoere (PTY) LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Durban 1st Floor Caltex Energy,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Gqeberha 16 Studebaker St Eastern Cape 6210 milltrans.***** 2018 $29,051,500 150 Corporation 6 201824651907 52 R J Logistics (PTY) LTD",,,Logistics & Transport,info@gqeberha.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Germiston 3 Viking Rd Airport,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Carletonville 2 Simonsville Rd Carletonville on R500,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Cape Town 11 Barrier St Western Cape 6506 vereticulation.***** 2005 $27,796,600 45 Corporation 2 200502158507 55 4pl Group (PTY) LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Pretoria Via Aurelia Dr Irene,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Germiston 11 Pomona Rd Cnr,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Bloemfontein 26 Kruger Av Free,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
(PTY) LTD,,,Logistics & Transport,info@ptyltd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Stellenbosch Bosmans Crossing Distillery Rd,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Pretoria Unit 8 Parkfield Court,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Cape Town Roggebaai Place 4 Jetty St Western Cape 8001 apmterminals.***** 1999 $25,373,994 197 Corporation 2122 199900937707 61 Freightcor Logistic Solutions (PTY) LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Johannesburg Unit A 1003 Block,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Germiston 107108 Ep Malan Rd,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Germiston 13 Purlin St Gauteng,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Cape Town Longkloof Studios Block B Darters Rd Western Cape 8001 travelstart.***** 2004 $25,373,994 197 Corporation 10 200401684107 65 Nexus Fulfilment (PTY) LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
"Cape Town 61 Range Rd Western Cape 7490 N/A 2006 $25,373,994 197 Corporation 3 200602767207 66 Upside Private Equity (PTY) LTD",,,Logistics & Transport,info@capetown61rangerdwesterncape7490na200625373994197corporation320060276720766upsideprivateequity.co.za,016 663 5381,Operations Manager,9,30-60 days,Major logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Durban 102 at 1 Lindsay,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Durban Montgomery Dr Kwazulu-natal 4300,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Cape Town Flywell Centre 121 Ottery Rd Western Cape 7800 flywell.***** 1978 $25,373,994 197 Corporation 4 197800318207 69 Motsamayi Tourism Group (PTY) LTD",,,Logistics & Transport,info@capetown.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Johannesburg 1st Floor Oxford Park,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Johannesburg 2 Rosherville Rd Gauteng,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
Klerksdorp 83 Portion Farm Nooitgedacht,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
