Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Mailantoa Designs And Projects CC,,,Cleaning & Facilities,info@mailanto.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Mrc Systems (PTY) LTD,,,Cleaning & Facilities,info@mrcsyste.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Isabelo Saka Mdluli Trading And Construction CC,,,Cleaning & Facilities,info@isabelosakamdlulitradingandconstruction.co.za,012 876 9229,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Sapos Properties Bloemfontein (PTY) LTD,,,Cleaning & Facilities,info@sapospro.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Menzies Aviation South Africa (PTY) LTD,,,Cleaning & Facilities,info@menziesaviationsouthafrica.co.za,031 917 1009,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
O C S Cleaning (PTY) LTD,,,Cleaning & Facilities,info@ocscleaning.co.za,041 828 1180,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Delta Facilities Management (PTY) LTD,,,Cleaning & Facilities,info@deltafacilitiesmanagement.co.za,041 600 9954,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Skyscraper Property Investments (PTY) LTD,,,Cleaning & Facilities,info@skyscraperpropertyinvestments.co.za,018 349 9159,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Livclean (PTY) LTD,,,Cleaning & Facilities,info@livclean.co.za,014 408 6587,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Tshidime Trading (PTY) LTD,,,Cleaning & Facilities,info@tshidimetrading.co.za,018 871 7378,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Fregonia Trading (PTY) LTD,,,Cleaning & Facilities,info@fregoniatrading.co.za,016 508 5921,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Bright Spark Engineering And Building Work CC,,,Cleaning & Facilities,info@brightsparkengineeringandbuildingwork.co.za,041 628 2852,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Dangerous Goods International SA (PTY) LTD,,,Cleaning & Facilities,info@dangerousgoodsinternationalsa.co.za,015 564 7677,Operations Manager,10,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Mshengu Legacy Cleaning Services (PTY) LTD,,,Cleaning & Facilities,info@mshengulegacycleaningservices.co.za,013 512 6611,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
San Building Maintenance CC,,,Cleaning & Facilities,info@sanbuild.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Black Brain Security And Cleaning Services (PTY) LTD,,,Cleaning & Facilities,info@blackbrainsecurityandcleaningservices.co.za,011 706 6325,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Monument Interiors CC,,,Cleaning & Facilities,info@monument.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Briteshine Detergents (PTY) LTD,,,Cleaning & Facilities,info@briteshi.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
2nd World B And B CC,,,Cleaning & Facilities,info@2ndworld.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Tia Cleaning Service (PTY) LTD,,,Cleaning & Facilities,info@tiacleaningservice.co.za,041 701 1021,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Jathebo Trading And Projects CC,,,Cleaning & Facilities,info@jathebotradingandprojects.co.za,021 827 9821,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Jala Bontle Cleaning And Support Services (PTY) LTD,,,Cleaning & Facilities,info@jalabontlecleaningandsupportservices.co.za,015 623 1948,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Mminanoko Facilities Management Services (PTY) LTD,,,Cleaning & Facilities,info@mminanokofacilitiesmanagementservices.co.za,012 332 7431,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Erf 1416 Avondale CC,,,Cleaning & Facilities,info@erf1416a.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Pretorius And Sons (PTY) LTD,,,Cleaning & Facilities,info@pretoriu.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Mojozi Cleaning Services (PTY) LTD,,,Cleaning & Facilities,info@mojozicleaningservices.co.za,012 938 7302,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Afroteq Advisory (PTY) LTD,,,Cleaning & Facilities,info@afroteqa.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Kwena Cleaning Projects (PTY) LTD,,,Cleaning & Facilities,info@kwenacleaningprojects.co.za,011 582 3939,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Safestore CC,,,Cleaning & Facilities,info@safestor.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Montshepetsa Boshego Cleaning Supply And Construction (PTY) LTD,,,Cleaning & Facilities,info@montshepetsaboshegocleaningsupplyandconstruction.co.za,013 782 9481,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Mubya Security And Cleaning Services (PTY) LTD,,,Cleaning & Facilities,info@mubyasecurityandcleaningservices.co.za,013 558 8213,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Imbumba Aganang Facilities Management Rf (PTY) LTD,,,Cleaning & Facilities,info@imbumbaaganangfacilitiesmanagementrf.co.za,012 764 3708,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Afezeke Cleaning And Construction (PTY) LTD,,,Cleaning & Facilities,info@afezekecleaningandconstruction.co.za,041 504 4804,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Ginindas Renting Transportation And Other Projects (PTY) LTD,,,Cleaning & Facilities,info@ginindas.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
J And M Cleaning Services (PTY) LTD,,,Cleaning & Facilities,info@jandmcleaningservices.co.za,018 979 6920,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Ubunye Mining Services (PTY) LTD,,,Cleaning & Facilities,info@ubunyeminingservices.co.za,011 774 8249,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Jacksons Cleaning Services CC,,,Cleaning & Facilities,info@jacksonscleaningservices.co.za,015 930 4591,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Umongi Facilities Services (PTY) LTD,,,Cleaning & Facilities,info@umongifacilitiesservices.co.za,012 383 1211,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Cleanserf (PTY) LTD,,,Cleaning & Facilities,info@cleanser.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Shopfitting Contracts CC,,,Cleaning & Facilities,info@shopfitt.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Bernice Morrells CC,,,Cleaning & Facilities,info@bernicem.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Cdb Cleaning Services (PTY) LTD,,,Cleaning & Facilities,info@cdbcleaningservices.co.za,014 256 4949,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
The Centre For Diabetes And Endocrinology (PTY) LTD,,,Cleaning & Facilities,info@thecentr.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Consolidated Desentrilized Works CC,,,Cleaning & Facilities,info@consolid.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Hayani Trading And Projects CC,,,Cleaning & Facilities,info@hayanitradingandprojects.co.za,041 960 2391,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Parker Floors CC,,,Cleaning & Facilities,info@parkerfl.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Injani Specialized Cleaning And Waste Services CC,,,Cleaning & Facilities,info@injanispecializedcleaningandwasteservices.co.za,021 332 3575,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Ms Express South Africa (PTY) LTD,,,Cleaning & Facilities,info@msexpresssouthafrica.co.za,031 314 3326,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Lowcoat CC,,,Cleaning & Facilities,info@lowcoatc.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
