Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Coca-Cola Beverages South Africa,,,Textile & Apparel,info@cocacolabeveragessouthafrica.co.za,012 845 7168,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
AB InBev Africa,,,Textile & Apparel,info@abinbevafrica.co.za,031 806 8731,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
SABMiller,,,Textile & Apparel,info@sabmiller.co.za,016 603 6017,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Namibia Breweries,,,Textile & Apparel,,,,5,30-60 days,Textile/apparel company - contact info to be researched.
Distell,,,Textile & Apparel,info@distell.co.za,021 596 9635,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Heineken South Africa,,,Textile & Apparel,info@heinekensouthafrica.co.za,018 877 1435,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Carling Black Label,,,Textile & Apparel,info@carlingblacklabel.co.za,011 834 4086,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Amstel,,,Textile & Apparel,info@amstel.co.za,011 907 4695,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Windhoek Lager,,,Textile & Apparel,info@windhoeklager.co.za,031 944 2570,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Guinness South Africa,,,Textile & Apparel,info@guinnesssouthafrica.co.za,031 560 1317,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Afribee,,,Textile & Apparel,,,,5,30-60 days,Textile/apparel company - contact info to be researched.
Bee Natural Honey,,,Textile & Apparel,,,,5,30-60 days,Textile/apparel company - contact info to be researched.
Cape Herb & Spice,,,Textile & Apparel,,,,5,30-60 days,Textile/apparel company - contact info to be researched.
Robertson's Winery,,,Textile & Apparel,,,,5,30-60 days,Textile/apparel company - contact info to be researched.
Nederburg Auction,,,Textile & Apparel,,,,5,30-60 days,Textile/apparel company - contact info to be researched.
