Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
AB InBev Africa,,,Food Processing,info@abinbevafrica.co.za,031 747 5170,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Montefeltro Brands,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Famous Brands Limited,,,Food Processing,info@famousbrandslimited.co.za,015 601 1292,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Debonairs Pizza,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Steers,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Wimpy,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Nando's,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Chicken Licken,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Barcel,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Danone Southern Africa,,,Food Processing,info@danonesouthernafrica.co.za,015 680 7218,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
McCain Foods South Africa,,,Food Processing,info@mccainfoodssouthafrica.co.za,018 939 8063,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Illovo Sugar Limited,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Tongaat Hulett Limited,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Grain Belt Holdings,,,Food Processing,info@grainbel.co.za,011 123 4567,Contact Person,6,30-60 days,Food processing company serving various sectors.
Bidvest Group Limited,,,Food Processing,info@bidvestgrouplimited.co.za,041 985 8227,Operations Manager,9,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Cadbury South Africa,,,Food Processing,info@cadburys.co.za,011 123 4567,Contact Person,7,30-60 days,Food processing company serving various sectors.
Cadbury Schweppes,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
SABMiller,,,Food Processing,info@sabmiller.co.za,014 746 3913,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Namibia Breweries,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Distell,,,Food Processing,info@distell.co.za,031 429 8352,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Klein Constantia,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Boschendal,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Nederburg,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Drostdy-Hof,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Annie's,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Cape Brewing Company,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Devil's Peak Brewery,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
South African Breweries,,,Food Processing,info@southafr.co.za,011 123 4567,Contact Person,7,30-60 days,Food processing company serving various sectors.
Heineken South Africa,,,Food Processing,info@heineken.co.za,011 123 4567,Contact Person,7,30-60 days,Food processing company serving various sectors.
Carling Black Label,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Amstel,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
